sale_id,sale_date,product_id,region,channel,liters_sold,list_price_per_liter,discount,net_price_per_liter,revenue_eur
600000,01.01.2024,4,Lombardia,Store,4,3.3,0.049,3.14,12.56
600001,01.01.2024,4,Aosta,Store,299,3.3,0.014,3.25,971.75
600002,01.01.2024,2,Liguria,Private,236,3.6,0.038,3.46,816.56
600003,01.01.2024,6,Lombardia,Store,207,3.1,0.005,3.08,637.56
600004,01.01.2024,6,Emilia-Romagna,Restaurant,215,3.1,0.054,2.93,629.95
600005,01.01.2024,7,Lombardia,Restaurant,663,4.5,0.031,4.36,2890.68
600006,02.01.2024,4,Emilia-Romagna,Restaurant,195,3.3,0,3.3,643.5
600007,02.01.2024,7,Lombardia,Store,227,4.5,0.043,4.31,978.37
600008,02.01.2024,2,Emilia-Romagna,Store,105,3.6,0.032,3.48,365.4
600009,02.01.2024,7,Piemonte,Restaurant,225,4.5,0.005,4.48,1008
600010,02.01.2024,2,Liguria,Restaurant,406,3.6,0.061,3.38,1372.28
600011,02.01.2024,4,Liguria,Store,90,3.3,0.026,3.21,288.9
600012,02.01.2024,1,Emilia-Romagna,Restaurant,376,3.2,0.051,3.04,1143.04
600013,03.01.2024,3,Lombardia,Store,102,3.9,0.031,3.78,385.56
600014,03.01.2024,5,Toscana,Restaurant,165,2.8,0.028,2.72,448.8
600015,03.01.2024,2,Aosta,Store,460,3.6,0.057,3.39,1559.4
600016,03.01.2024,4,Liguria,Store,146,3.3,0.021,3.23,471.58
600017,03.01.2024,4,Liguria,Store,416,3.3,0.057,3.11,1293.76
600018,03.01.2024,3,Liguria,Restaurant,10,3.9,0.023,3.81,38.1
600019,03.01.2024,2,Emilia-Romagna,Private,20,3.6,0.036,3.47,69.4
600020,03.01.2024,1,Liguria,Store,305,3.2,0,3.2,976
600021,04.01.2024,7,Emilia-Romagna,Restaurant,94,4.5,0.037,4.33,407.02
600022,04.01.2024,1,Lombardia,Store,203,3.2,0.045,3.06,621.18
600023,04.01.2024,4,Toscana,Restaurant,408,3.3,0.023,3.22,1313.76
600024,04.01.2024,1,Liguria,Restaurant,345,3.2,0.038,3.08,1062.6
600025,04.01.2024,1,Liguria,Restaurant,394,3.2,0.034,3.09,1217.46
600026,04.01.2024,2,Lombardia,Store,180,3.6,0.019,3.53,635.4
600027,05.01.2024,1,Lombardia,Store,295,3.2,0.02,3.14,926.3
600028,05.01.2024,2,Lombardia,Store,228,3.6,0.008,3.57,813.96
600029,05.01.2024,1,Toscana,Store,47,3.2,0.021,3.13,147.11
600030,05.01.2024,4,Emilia-Romagna,Store,107,3.3,0.051,3.13,334.91
600031,05.01.2024,5,Liguria,Store,44,2.8,0.014,2.76,121.44
600032,05.01.2024,3,Lombardia,Restaurant,65,3.9,0.029,3.79,246.35
600033,05.01.2024,6,Lombardia,Store,292,3.1,0.017,3.05,890.6
600034,05.01.2024,4,Lombardia,Store,281,3.3,0.021,3.23,907.63
600035,05.01.2024,6,Toscana,Store,265,3.1,0.033,3,795
600036,06.01.2024,2,Liguria,Restaurant,190,3.6,0.025,3.51,666.9
600037,06.01.2024,3,Lombardia,Store,400,3.9,0.051,3.7,1480
600038,06.01.2024,4,Toscana,Store,558,3.3,0.006,3.28,1830.24
600039,06.01.2024,6,Lombardia,Restaurant,476,3.1,0.045,2.96,1408.96
600040,07.01.2024,1,Lombardia,Store,680,3.2,0.023,3.13,2128.4
600041,07.01.2024,2,Lombardia,Store,125,3.6,0.017,3.54,442.5
600042,07.01.2024,7,Emilia-Romagna,Store,819,4.5,0.074,4.17,3415.23
600043,08.01.2024,6,Toscana,Store,1354,3.1,0.053,2.94,3980.76
600044,08.01.2024,5,Piemonte,Store,68,2.8,0.027,2.72,184.96
600045,08.01.2024,1,Liguria,Store,202,3.2,0.016,3.15,636.3
600046,09.01.2024,1,Emilia-Romagna,Store,303,3.2,0.025,3.12,945.36
600047,09.01.2024,6,Lombardia,Store,172,3.1,0.031,3,516
600048,09.01.2024,5,Emilia-Romagna,Store,10,2.8,0.033,2.71,27.1
600049,09.01.2024,7,Emilia-Romagna,Store,119,4.5,0.006,4.47,531.93
600050,09.01.2024,1,Liguria,Store,171,3.2,0.003,3.19,545.49
600051,09.01.2024,2,Emilia-Romagna,Store,338,3.6,0.015,3.55,1199.9
600052,09.01.2024,4,Liguria,Store,178,3.3,0.025,3.22,573.16
600053,09.01.2024,4,Lombardia,Store,201,3.3,0,3.3,663.3
600054,09.01.2024,1,Liguria,Restaurant,132,3.2,0.032,3.1,409.2
600055,10.01.2024,1,Emilia-Romagna,Store,30,3.2,0.036,3.08,92.4
600056,10.01.2024,4,Aosta,Store,49,3.3,0.029,3.2,156.8
600057,10.01.2024,3,Emilia-Romagna,Store,239,3.9,0.02,3.82,912.98
600058,10.01.2024,2,Liguria,Restaurant,109,3.6,0.006,3.58,390.22
600059,10.01.2024,2,Liguria,Store,25,3.6,0.03,3.49,87.25
600060,10.01.2024,3,Toscana,Store,409,3.9,0.039,3.75,1533.75
600061,10.01.2024,4,Liguria,Store,10,3.3,0.053,3.13,31.3
600062,10.01.2024,4,Emilia-Romagna,Restaurant,237,3.3,0.045,3.15,746.55
600063,10.01.2024,3,Lombardia,Store,228,3.9,0.045,3.72,848.16
600064,10.01.2024,5,Liguria,Store,288,2.8,0,2.8,806.4
600065,11.01.2024,6,Liguria,Store,196,3.1,0.03,3.01,589.96
600066,11.01.2024,3,Emilia-Romagna,Store,360,3.9,0.009,3.86,1389.6
600067,11.01.2024,6,Lombardia,Store,1068,3.1,0.038,2.98,3182.64
600068,12.01.2024,2,Emilia-Romagna,Restaurant,11,3.6,0.032,3.48,38.28
600069,12.01.2024,2,Emilia-Romagna,Store,226,3.6,0.032,3.48,786.48
600070,12.01.2024,4,Lombardia,Restaurant,153,3.3,0,3.3,504.9
600071,12.01.2024,6,Liguria,Private,222,3.1,0.006,3.08,683.76
600072,12.01.2024,2,Emilia-Romagna,Store,89,3.6,0.012,3.56,316.84
600073,12.01.2024,2,Lombardia,Store,216,3.6,0.025,3.51,758.16
600074,12.01.2024,1,Toscana,Store,72,3.2,0.026,3.12,224.64
600075,12.01.2024,3,Liguria,Store,224,3.9,0.049,3.71,831.04
600076,12.01.2024,6,Toscana,Restaurant,206,3.1,0.038,2.98,613.88
600077,12.01.2024,4,Liguria,Store,205,3.3,0.049,3.14,643.7
600078,13.01.2024,5,Lombardia,Store,936,2.8,0.081,2.57,2405.52
600079,13.01.2024,1,Aosta,Store,678,3.2,0,3.2,2169.6
600080,13.01.2024,2,Liguria,Store,10,3.6,0.006,3.58,35.8
600081,14.01.2024,7,Lombardia,Store,144,4.5,0.052,4.27,614.88
600082,14.01.2024,6,Emilia-Romagna,Store,245,3.1,0.025,3.02,739.9
600083,14.01.2024,6,Lombardia,Store,356,3.1,0.033,3,1068
600084,14.01.2024,4,Lombardia,Store,18,3.3,0.037,3.18,57.24
600085,14.01.2024,6,Piemonte,Store,427,3.1,0.028,3.01,1285.27
600086,14.01.2024,6,Liguria,Store,94,3.1,0.039,2.98,280.12
600087,14.01.2024,4,Aosta,Store,49,3.3,0,3.3,161.7
600088,14.01.2024,4,Lombardia,Store,121,3.3,0,3.3,399.3
600089,14.01.2024,4,Toscana,Store,170,3.3,0.036,3.18,540.6
600090,15.01.2024,5,Liguria,Restaurant,576,2.8,0.008,2.78,1601.28
600091,15.01.2024,2,Liguria,Store,315,3.6,0.015,3.55,1118.25
600092,15.01.2024,1,Lombardia,Store,643,3.2,0.026,3.12,2006.16
600093,15.01.2024,6,Liguria,Store,90,3.1,0.042,2.97,267.3
600094,16.01.2024,4,Liguria,Store,87,3.3,0.034,3.19,277.53
600095,16.01.2024,1,Toscana,Restaurant,416,3.2,0.046,3.05,1268.8
600096,16.01.2024,4,Lombardia,Store,10,3.3,0.026,3.21,32.1
600097,16.01.2024,2,Lombardia,Restaurant,93,3.6,0.011,3.56,331.08
600098,16.01.2024,2,Piemonte,Restaurant,179,3.6,0.028,3.5,626.5
600099,16.01.2024,2,Liguria,Store,97,3.6,0.022,3.52,341.44
600100,16.01.2024,7,Lombardia,Store,77,4.5,0.038,4.33,333.41
600101,16.01.2024,7,Liguria,Store,373,4.5,0.028,4.37,1630.01
600102,16.01.2024,1,Liguria,Store,292,3.2,0,3.2,934.4
600103,17.01.2024,3,Liguria,Restaurant,228,3.9,0.054,3.69,841.32
600104,17.01.2024,2,Emilia-Romagna,Restaurant,10,3.6,0.026,3.51,35.1
600105,17.01.2024,4,Lombardia,Restaurant,113,3.3,0.017,3.24,366.12
600106,17.01.2024,7,Liguria,Restaurant,259,4.5,0.032,4.36,1129.24
600107,17.01.2024,3,Lombardia,Store,10,3.9,0.011,3.86,38.6
600108,17.01.2024,6,Emilia-Romagna,Store,316,3.1,0.008,3.08,973.28
600109,17.01.2024,2,Toscana,Store,323,3.6,0.045,3.44,1111.12
600110,17.01.2024,4,Piemonte,Store,137,3.3,0.041,3.16,432.92
600111,17.01.2024,1,Liguria,Store,228,3.2,0.1,2.88,656.64
600112,18.01.2024,5,Emilia-Romagna,Store,349,2.8,0.037,2.7,942.3
600113,18.01.2024,5,Toscana,Restaurant,446,2.8,0.026,2.73,1217.58
600114,18.01.2024,4,Lombardia,Store,458,3.3,0.021,3.23,1479.34
600115,18.01.2024,6,Liguria,Store,190,3.1,0.03,3.01,571.9
600116,18.01.2024,4,Liguria,Store,181,3.3,0.029,3.2,579.2
600117,19.01.2024,5,Lombardia,Store,12,2.8,0.028,2.72,32.64
600118,19.01.2024,1,Lombardia,Store,301,3.2,0.047,3.05,918.05
600119,19.01.2024,1,Emilia-Romagna,Store,206,3.2,0.037,3.08,634.48
600120,19.01.2024,4,Liguria,Store,429,3.3,0.023,3.22,1381.38
600121,19.01.2024,2,Lombardia,Store,219,3.6,0.008,3.57,781.83
600122,19.01.2024,4,Liguria,Store,457,3.3,0.032,3.19,1457.83
600123,20.01.2024,4,Lombardia,Restaurant,654,3.3,0.029,3.2,2092.8
600124,20.01.2024,1,Emilia-Romagna,Store,10,3.2,0.026,3.12,31.2
600125,20.01.2024,6,Lombardia,Store,742,3.1,0.059,2.92,2166.64
